Gene Symbol	Transcript	Source	Matches Old Trx 
MIR4285	NR_036245	LongestTrx	Y
MIR4287	NR_036249	LongestTrx	Y
MIR4288	NR_036250	LongestTrx	Y
MIR4289	NR_036252	LongestTrx	Y
MIR429	NR_029957	LongestTrx	Y
MIR4290	NR_036253	LongestTrx	Y
MIR4290HG	NR_038882	LongestTrx	Y
MIR4291	NR_036254	LongestTrx	Y
MIR4292	NR_036251	LongestTrx	Y
MIR4293	NR_036181	LongestTrx	N
MIR4294	NR_036182	LongestTrx	Y
MIR4295	NR_036177	LongestTrx	Y
MIR4296	NR_036178	LongestTrx	Y
MIR4297	NR_036179	LongestTrx	Y
MIR4298	NR_036185	LongestTrx	Y
MIR4299	NR_036184	LongestTrx	Y
MIR4300	NR_036186	LongestTrx	Y
MIR4300HG	NR_120571	LongestTrx	N
MIR4301	NR_036183	LongestTrx	Y
MIR4302	NR_036188	LongestTrx	Y
MIR4303	NR_036189	LongestTrx	Y
MIR4304	NR_036187	LongestTrx	Y
MIR4305	NR_036190	LongestTrx	Y
MIR4306	NR_036191	LongestTrx	Y
MIR4307	NR_036193	LongestTrx	Y
MIR4307HG	NR_110041	LongestTrx	N
MIR4308	NR_036194	LongestTrx	Y
MIR4309	NR_036192	LongestTrx	Y
MIR431	NR_029965	LongestTrx	Y
MIR4310	NR_036195	LongestTrx	Y
MIR4311	NR_036196	LongestTrx	Y
MIR4312	NR_036197	LongestTrx	Y
MIR4313	NR_036198	LongestTrx	Y
MIR4314	NR_036201	LongestTrx	Y
MIR4316	NR_036200	LongestTrx	Y
MIR4317	NR_036205	LongestTrx	Y
MIR4318	NR_036202	LongestTrx	Y
MIR4319	NR_036203	LongestTrx	Y
MIR432	NR_030173	LongestTrx	Y
MIR4320	NR_036204	LongestTrx	Y
MIR4321	NR_036207	LongestTrx	N
MIR4322	NR_036206	LongestTrx	Y
MIR4323	NR_036208	LongestTrx	Y
MIR4324	NR_036209	LongestTrx	Y
MIR4325	NR_036219	LongestTrx	Y
MIR4326	NR_036220	LongestTrx	Y
MIR4327	NR_036221	LongestTrx	Y
MIR4328	NR_036258	LongestTrx	Y
MIR4329	NR_036255	LongestTrx	Y
MIR433	NR_029966	LongestTrx	Y
MIR4330	NR_036256	LongestTrx	Y
MIR4418	NR_039613	LongestTrx	N
MIR4420	NR_039616	LongestTrx	Y
MIR4421	NR_039617	LongestTrx	N
MIR4422	NR_039618	LongestTrx	Y
MIR4422HG	NR_146283	LongestTrx	N
MIR4423	NR_039619	LongestTrx	Y
MIR4424	NR_039622	LongestTrx	Y
MIR4425	NR_039623	LongestTrx	N
MIR4426	NR_039624	LongestTrx	Y
MIR4427	NR_039625	LongestTrx	Y
MIR4428	NR_039626	LongestTrx	N
MIR4429	NR_039627	LongestTrx	Y
MIR4430	NR_039628	LongestTrx	N
MIR4431	NR_039630	LongestTrx	N
MIR4432	NR_039631	LongestTrx	Y
MIR4432HG	NR_132991	LongestTrx	N
MIR4433A	NR_039632	LongestTrx	N
MIR4433B	NR_106995	LongestTrx	N
MIR4434	NR_039633	LongestTrx	Y
MIR4435-1	NR_039634	LongestTrx	Y
MIR4435-2HG	NR_136162	LongestTrx	N
MIR4436A	NR_039635	LongestTrx	Y
MIR4436B1	NR_039941	LongestTrx	Y
MIR4437	NR_039637	LongestTrx	Y
MIR4438	NR_039640	LongestTrx	N
MIR4439	NR_039641	LongestTrx	Y
MIR4440	NR_039642	LongestTrx	Y
MIR4441	NR_039643	LongestTrx	Y
MIR4442	NR_039644	LongestTrx	N
MIR4443	NR_039645	LongestTrx	Y
MIR4444-1	NR_039646	LongestTrx	Y
MIR4445	NR_039647	LongestTrx	N
MIR4446	NR_039648	LongestTrx	Y
MIR4447	NR_039649	LongestTrx	N
MIR4448	NR_039650	LongestTrx	N
MIR4449	NR_039651	LongestTrx	Y
MIR4450	NR_039654	LongestTrx	Y
MIR4451	NR_039656	LongestTrx	Y
MIR4452	NR_039657	LongestTrx	N
MIR4453	NR_039658	LongestTrx	N
MIR4453HG	NR_033797	LongestTrx	Y
MIR4454	NR_039659	LongestTrx	Y
MIR4455	NR_039660	LongestTrx	N
MIR4456	NR_039661	LongestTrx	Y
MIR4457	NR_039662	LongestTrx	Y
MIR4458	NR_039663	LongestTrx	N
MIR4458HG	NR_039989	LongestTrx	Y
MIR4460	NR_039665	LongestTrx	Y
MIR4462	NR_039669	LongestTrx	Y
MIR4463	NR_039670	LongestTrx	N
MIR4464	NR_039671	LongestTrx	Y
MIR4465	NR_039675	LongestTrx	Y
MIR4466	NR_039676	LongestTrx	Y
MIR4467	NR_039677	LongestTrx	Y
MIR4468	NR_039678	LongestTrx	Y
MIR4469	NR_039679	LongestTrx	N
MIR4470	NR_039680	LongestTrx	Y
MIR4471	NR_039681	LongestTrx	Y
MIR4472-1	NR_039682	LongestTrx	Y
MIR4472-2	NR_039683	LongestTrx	Y
MIR4473	NR_039684	LongestTrx	Y
MIR4474	NR_039685	LongestTrx	Y
MIR4475	NR_039686	LongestTrx	Y
MIR4476	NR_039687	LongestTrx	Y
MIR4478	NR_039690	LongestTrx	Y
MIR4479	NR_039697	LongestTrx	Y
MIR448	NR_029955	LongestTrx	Y
MIR4480	NR_039700	LongestTrx	Y
MIR4481	NR_039701	LongestTrx	N
MIR4482	NR_039702	LongestTrx	Y
MIR4483	NR_039703	LongestTrx	Y
MIR4484	NR_039704	LongestTrx	Y
MIR4485	NR_039705	LongestTrx	N
MIR4486	NR_039706	LongestTrx	Y
MIR4487	NR_039707	LongestTrx	N
MIR4488	NR_039708	LongestTrx	Y
MIR4489	NR_039709	LongestTrx	Y
MIR4490	NR_039711	LongestTrx	Y
MIR4491	NR_039712	LongestTrx	Y
MIR4492	NR_039713	LongestTrx	Y
MIR4493	NR_039714	LongestTrx	Y
MIR4494	NR_039715	LongestTrx	N
MIR4495	NR_039716	LongestTrx	N
MIR4496	NR_039717	LongestTrx	N
MIR4497	NR_039718	LongestTrx	Y
MIR4498	NR_039719	LongestTrx	Y
MIR4499	NR_039721	LongestTrx	Y
MIR449A	NR_029960	LongestTrx	Y
MIR449B	NR_030387	LongestTrx	Y
MIR449C	NR_031572	LongestTrx	Y
MIR4500	NR_039722	LongestTrx	Y
MIR4500HG	NR_033829	LongestTrx	Y
MIR4501	NR_039723	LongestTrx	N
MIR4502	NR_039724	LongestTrx	N
MIR4503	NR_039725	LongestTrx	Y
MIR4504	NR_039726	LongestTrx	N
MIR4505	NR_039727	LongestTrx	Y
MIR4508	NR_039731	LongestTrx	Y
MIR4509-1	NR_039732	LongestTrx	Y
MIR450A1	NR_029962	LongestTrx	Y
MIR450A2	NR_030227	LongestTrx	Y
MIR450B	NR_030587	LongestTrx	Y
MIR4510	NR_039735	LongestTrx	Y
MIR4511	NR_039736	LongestTrx	Y
MIR4512	NR_039737	LongestTrx	N
MIR4513	NR_039738	LongestTrx	Y
MIR4514	NR_039739	LongestTrx	Y
MIR4515	NR_039740	LongestTrx	Y
MIR4516	NR_039741	LongestTrx	Y
MIR4517	NR_039742	LongestTrx	N
MIR4518	NR_039743	LongestTrx	Y
MIR4519	NR_039744	LongestTrx	Y
MIR451A	NR_029970	LongestTrx	Y
MIR451B	NR_039876	LongestTrx	Y
MIR452	NR_029973	LongestTrx	Y
MIR4520-1	NR_039745	LongestTrx	Y
MIR4520-2	NR_039874	LongestTrx	Y
MIR4521	NR_039746	LongestTrx	Y
MIR4522	NR_039748	LongestTrx	Y
MIR4523	NR_039749	LongestTrx	Y
MIR4524A	NR_039750	LongestTrx	Y
MIR4524B	NR_049834	LongestTrx	Y
MIR4525	NR_039751	LongestTrx	N
MIR4526	NR_039752	LongestTrx	Y
MIR4527	NR_039753	LongestTrx	N
MIR4527HG	NR_147192	LongestTrx	N
MIR4528	NR_130465	LongestTrx	N
MIR4529	NR_039754	LongestTrx	Y
MIR4530	NR_039755	LongestTrx	Y
MIR4531	NR_039756	LongestTrx	Y
MIR4533	NR_039758	LongestTrx	Y
MIR4534	NR_039759	LongestTrx	Y
MIR4535	NR_039761	LongestTrx	Y
MIR4536-1	NR_039764	LongestTrx	Y
MIR4536-2	NR_130469	LongestTrx	N
MIR454	NR_030411	LongestTrx	Y
MIR4540	NR_039766	LongestTrx	Y
MIR455	NR_030255	LongestTrx	Y
MIR4632	NR_039775	LongestTrx	Y
MIR4633	NR_039776	LongestTrx	Y
MIR4634	NR_039777	LongestTrx	Y
MIR4635	NR_039778	LongestTrx	Y
MIR4636	NR_039779	LongestTrx	Y
MIR4637	NR_039780	LongestTrx	Y
MIR4638	NR_039781	LongestTrx	Y
MIR4639	NR_039782	LongestTrx	Y
MIR4640	NR_039783	LongestTrx	Y
MIR4641	NR_039784	LongestTrx	Y
MIR4642	NR_039785	LongestTrx	Y
MIR4643	NR_039786	LongestTrx	Y
MIR4644	NR_039787	LongestTrx	Y
MIR4645	NR_039788	LongestTrx	Y
MIR4646	NR_039789	LongestTrx	Y
MIR4647	NR_039790	LongestTrx	N
MIR4648	NR_039791	LongestTrx	Y
MIR4649	NR_039792	LongestTrx	N
MIR4650-1	NR_039793	LongestTrx	Y
MIR4650-2	NR_039794	LongestTrx	Y
MIR4651	NR_039795	LongestTrx	Y
MIR4652	NR_039796	LongestTrx	Y
MIR4653	NR_039797	LongestTrx	Y
MIR4654	NR_039798	LongestTrx	Y
MIR4655	NR_039799	LongestTrx	Y
MIR4656	NR_039800	LongestTrx	Y
MIR4657	NR_039801	LongestTrx	N
MIR4658	NR_039802	LongestTrx	N
MIR4659A	NR_039803	LongestTrx	Y
MIR4659B	NR_039807	LongestTrx	Y
MIR466	NR_130459	LongestTrx	N
MIR4660	NR_039804	LongestTrx	Y
MIR4661	NR_039805	LongestTrx	Y
MIR4662A	NR_039806	LongestTrx	N
MIR4662B	NR_039809	LongestTrx	N
MIR4663	NR_039808	LongestTrx	Y
MIR4664	NR_039810	LongestTrx	Y
MIR4665	NR_039811	LongestTrx	Y
MIR4666A	NR_039812	LongestTrx	Y
MIR4666B	NR_049877	LongestTrx	N
MIR4667	NR_039813	LongestTrx	Y
MIR4668	NR_039814	LongestTrx	Y
MIR4669	NR_039816	LongestTrx	Y
MIR4670	NR_039817	LongestTrx	Y
MIR4671	NR_039818	LongestTrx	Y
MIR4672	NR_039819	LongestTrx	Y
MIR4673	NR_039820	LongestTrx	Y
MIR4674	NR_039821	LongestTrx	Y
MIR4675	NR_039822	LongestTrx	Y
MIR4676	NR_039823	LongestTrx	Y
MIR4677	NR_039824	LongestTrx	Y
MIR4678	NR_039825	LongestTrx	Y
MIR4679-1	NR_039826	LongestTrx	Y
MIR4679-2	NR_039827	LongestTrx	Y
MIR4680	NR_039828	LongestTrx	N
MIR4681	NR_039829	LongestTrx	Y
MIR4682	NR_039830	LongestTrx	Y
MIR4683	NR_039831	LongestTrx	N
MIR4684	NR_039832	LongestTrx	Y
MIR4685	NR_039833	LongestTrx	Y
MIR4686	NR_039834	LongestTrx	Y
MIR4687	NR_039835	LongestTrx	N
MIR4688	NR_039837	LongestTrx	Y
MIR4689	NR_039838	LongestTrx	Y
MIR4690	NR_039839	LongestTrx	Y
MIR4691	NR_039840	LongestTrx	Y
MIR4692	NR_039841	LongestTrx	Y
MIR4693	NR_039842	LongestTrx	Y
MIR4694	NR_039843	LongestTrx	Y
MIR4695	NR_039844	LongestTrx	Y
MIR4696	NR_039845	LongestTrx	Y
MIR4697	NR_039846	LongestTrx	N
MIR4698	NR_039847	LongestTrx	Y
MIR4699	NR_039848	LongestTrx	Y
MIR4700	NR_039849	LongestTrx	N
MIR4701	NR_039850	LongestTrx	Y
MIR4703	NR_039852	LongestTrx	Y
MIR4704	NR_039853	LongestTrx	N
MIR4705	NR_039854	LongestTrx	Y
MIR4706	NR_039855	LongestTrx	Y
MIR4707	NR_039856	LongestTrx	N
MIR4708	NR_039857	LongestTrx	Y
MIR4709	NR_039858	LongestTrx	N
MIR4710	NR_039860	LongestTrx	Y
MIR4711	NR_039861	LongestTrx	Y
MIR4712	NR_039862	LongestTrx	Y
MIR4713	NR_039863	LongestTrx	Y
MIR4713HG	NR_146310	LongestTrx	N
MIR4714	NR_039864	LongestTrx	Y
MIR4715	NR_039865	LongestTrx	Y
MIR4716	NR_039866	LongestTrx	Y
MIR4717	NR_039868	LongestTrx	Y
MIR4718	NR_039869	LongestTrx	Y
MIR4719	NR_039870	LongestTrx	Y
MIR4720	NR_039871	LongestTrx	Y
MIR4721	NR_039872	LongestTrx	N
MIR4722	NR_039873	LongestTrx	Y
MIR4723	NR_039875	LongestTrx	Y
MIR4724	NR_039877	LongestTrx	N
MIR4725	NR_039878	LongestTrx	Y
MIR4726	NR_039879	LongestTrx	Y
MIR4727	NR_039880	LongestTrx	Y
MIR4728	NR_039881	LongestTrx	Y
MIR4729	NR_039882	LongestTrx	Y
MIR4730	NR_039883	LongestTrx	Y
MIR4731	NR_039884	LongestTrx	Y
MIR4732	NR_039885	LongestTrx	Y
MIR4733	NR_039886	LongestTrx	Y
MIR4734	NR_039887	LongestTrx	Y
MIR4735	NR_039888	LongestTrx	Y
MIR4736	NR_039889	LongestTrx	Y
MIR4737	NR_039890	LongestTrx	Y
MIR4738	NR_039892	LongestTrx	Y
MIR4739	NR_039893	LongestTrx	Y
MIR4740	NR_039894	LongestTrx	Y
MIR4741	NR_039895	LongestTrx	N
MIR4742	NR_039896	LongestTrx	Y
MIR4743	NR_039897	LongestTrx	Y
MIR4744	NR_039898	LongestTrx	Y
MIR4745	NR_039900	LongestTrx	Y
MIR4746	NR_039901	LongestTrx	Y
MIR4747	NR_039902	LongestTrx	Y
MIR4748	NR_039903	LongestTrx	Y
MIR4749	NR_039904	LongestTrx	Y
MIR4750	NR_039905	LongestTrx	Y
MIR4751	NR_039906	LongestTrx	N
MIR4752	NR_039907	LongestTrx	Y
MIR4753	NR_039908	LongestTrx	Y
MIR4754	NR_039910	LongestTrx	Y
MIR4755	NR_039911	LongestTrx	Y
MIR4756	NR_039913	LongestTrx	Y
MIR4757	NR_039914	LongestTrx	Y
MIR4758	NR_039915	LongestTrx	Y
MIR4759	NR_039916	LongestTrx	Y
MIR4760	NR_039917	LongestTrx	Y
MIR4761	NR_039918	LongestTrx	Y
MIR4762	NR_039919	LongestTrx	Y
MIR4763	NR_039920	LongestTrx	Y
MIR4764	NR_039921	LongestTrx	Y
MIR4765	NR_039922	LongestTrx	Y
MIR4766	NR_039923	LongestTrx	Y
MIR4767	NR_039924	LongestTrx	Y
MIR4768	NR_039925	LongestTrx	Y
MIR4769	NR_039926	LongestTrx	Y
MIR4770	NR_039927	LongestTrx	Y
MIR4772	NR_039930	LongestTrx	Y
MIR4773-1	NR_039931	LongestTrx	Y
MIR4773-2	NR_039932	LongestTrx	Y
MIR4774	NR_039933	LongestTrx	Y
MIR4775	NR_039934	LongestTrx	N
MIR4776-1	NR_039935	LongestTrx	Y
MIR4776-2	NR_039936	LongestTrx	Y
MIR4777	NR_039937	LongestTrx	Y
MIR4778	NR_039938	LongestTrx	Y
MIR4779	NR_039939	LongestTrx	Y
MIR4780	NR_039940	LongestTrx	Y
MIR4781	NR_039942	LongestTrx	Y
MIR4782	NR_039943	LongestTrx	Y
MIR4783	NR_039944	LongestTrx	Y
MIR4784	NR_039945	LongestTrx	Y
MIR4785	NR_039946	LongestTrx	Y
MIR4786	NR_039949	LongestTrx	Y
MIR4787	NR_039950	LongestTrx	Y
MIR4788	NR_039951	LongestTrx	Y
MIR4789	NR_039952	LongestTrx	Y
MIR4790	NR_039953	LongestTrx	Y
MIR4791	NR_039954	LongestTrx	Y
MIR4793	NR_039956	LongestTrx	N
MIR4794	NR_039957	LongestTrx	Y
MIR4795	NR_039958	LongestTrx	Y
MIR4796	NR_039959	LongestTrx	Y
MIR4797	NR_039960	LongestTrx	Y
MIR4798	NR_039961	LongestTrx	Y
MIR4799	NR_039962	LongestTrx	Y
MIR4800	NR_039964	LongestTrx	N
MIR4801	NR_039965	LongestTrx	Y
MIR4802	NR_039966	LongestTrx	Y
MIR4803	NR_039967	LongestTrx	Y
MIR4804	NR_039968	LongestTrx	Y
MIR483	NR_030158	LongestTrx	Y
MIR485	NR_030160	LongestTrx	Y
MIR486-1	NR_030161	LongestTrx	Y
MIR486-2	NR_106984	LongestTrx	N
MIR487A	NR_030162	LongestTrx	Y
MIR487B	NR_030267	LongestTrx	Y
MIR488	NR_030163	LongestTrx	Y
MIR489	NR_030164	LongestTrx	Y
MIR490	NR_030165	LongestTrx	Y
MIR491	NR_030166	LongestTrx	Y
MIR492	NR_030171	LongestTrx	N
MIR493	NR_030172	LongestTrx	Y
MIR494	NR_030174	LongestTrx	Y
MIR495	NR_030175	LongestTrx	Y
MIR496	NR_030176	LongestTrx	Y
MIR497	NR_030178	LongestTrx	Y
MIR497HG	NR_038310	LongestTrx	Y
MIR498	NR_030182	LongestTrx	Y
MIR4999	NR_049795	LongestTrx	Y
MIR499A	NR_030223	LongestTrx	Y
MIR499B	NR_039912	LongestTrx	Y
MIR5000	NR_049796	LongestTrx	Y
MIR5001	NR_049797	LongestTrx	N
MIR5002	NR_049798	LongestTrx	Y
MIR5003	NR_049799	LongestTrx	Y
MIR5004	NR_049800	LongestTrx	Y
MIR5006	NR_049803	LongestTrx	N
MIR5007	NR_049804	LongestTrx	Y
MIR5008	NR_049806	LongestTrx	Y
MIR5009	NR_049807	LongestTrx	N
MIR500A	NR_030224	LongestTrx	Y
MIR500B	NR_036257	LongestTrx	Y
MIR501	NR_030225	LongestTrx	Y
MIR5010	NR_049808	LongestTrx	Y
MIR5011	NR_049809	LongestTrx	Y
MIR502	NR_030226	LongestTrx	Y
MIR503	NR_030228	LongestTrx	Y
MIR503HG	NR_024607	LongestTrx	Y
MIR504	NR_030229	LongestTrx	Y
MIR5047	NR_039969	LongestTrx	Y
MIR505	NR_030230	LongestTrx	Y
MIR506	NR_030233	LongestTrx	Y
MIR507	NR_030234	LongestTrx	Y
MIR508	NR_030235	LongestTrx	Y
MIR5087	NR_049810	LongestTrx	Y
MIR5088	NR_049811	LongestTrx	Y
MIR5089	NR_049812	LongestTrx	Y
MIR5090	NR_049813	LongestTrx	Y
MIR5091	NR_049814	LongestTrx	Y
MIR509-1	NR_030236	LongestTrx	Y
MIR5092	NR_049815	LongestTrx	Y
MIR5093	NR_049816	LongestTrx	Y
MIR5094	NR_049817	LongestTrx	Y
MIR510	NR_030237	LongestTrx	Y
MIR5100	NR_049836	LongestTrx	Y
MIR511	NR_030167	LongestTrx	N
MIR512-2	NR_030181	LongestTrx	Y
MIR513A1	NR_030231	LongestTrx	N
MIR513A2	NR_030232	LongestTrx	N
MIR513B	NR_031708	LongestTrx	N
MIR513C	NR_031709	LongestTrx	N
MIR514A1	NR_030238	LongestTrx	Y
MIR514A2	NR_030239	LongestTrx	Y
MIR514B	NR_036173	LongestTrx	Y
MIR515-1	NR_030184	LongestTrx	Y
MIR516A1	NR_030220	LongestTrx	Y
MIR516A2	NR_030221	LongestTrx	Y
MIR516B1	NR_030212	LongestTrx	Y
MIR516B2	NR_030207	LongestTrx	Y
MIR517A	NR_030201	LongestTrx	Y
MIR517B	NR_030205	LongestTrx	Y
MIR517C	NR_030214	LongestTrx	Y
MIR5186	NR_049818	LongestTrx	Y
MIR5187	NR_049819	LongestTrx	Y
MIR5188	NR_049820	LongestTrx	Y
MIR5189	NR_049821	LongestTrx	Y
MIR518A1	NR_030210	LongestTrx	Y
MIR518A2	NR_030213	LongestTrx	Y
MIR518B	NR_030196	LongestTrx	Y
MIR518C	NR_030199	LongestTrx	Y
MIR518D	NR_030211	LongestTrx	Y
MIR518E	NR_030209	LongestTrx	Y
MIR518F	NR_030194	LongestTrx	Y
MIR5190	NR_049822	LongestTrx	Y
MIR5191	NR_049823	LongestTrx	Y
MIR5192	NR_049824	LongestTrx	Y
MIR5193	NR_049825	LongestTrx	N
MIR5194	NR_049826	LongestTrx	Y
MIR5196	NR_049828	LongestTrx	N
MIR5197	NR_049829	LongestTrx	Y
MIR519A1	NR_030218	LongestTrx	Y
MIR519A2	NR_030222	LongestTrx	Y
MIR519B	NR_030191	LongestTrx	Y
MIR519C	NR_030188	LongestTrx	Y
MIR519D	NR_030202	LongestTrx	Y
MIR519E	NR_030185	LongestTrx	Y
MIR520A	NR_030189	LongestTrx	Y
MIR520B	NR_030195	LongestTrx	Y
MIR520C	NR_030198	LongestTrx	Y
MIR520D	NR_030204	LongestTrx	Y
MIR520E	NR_030183	LongestTrx	Y
MIR520F	NR_030186	LongestTrx	Y
MIR520G	NR_030206	LongestTrx	Y
MIR520H	NR_030215	LongestTrx	Y
MIR521-1	NR_030216	LongestTrx	Y
MIR521-2	NR_030203	LongestTrx	Y
MIR522	NR_030217	LongestTrx	Y
MIR523	NR_030193	LongestTrx	Y
MIR524	NR_030200	LongestTrx	Y
MIR525	NR_030192	LongestTrx	Y
MIR526A1	NR_030197	LongestTrx	Y
MIR526A2	NR_030208	LongestTrx	Y
MIR526B	NR_030190	LongestTrx	Y
MIR527	NR_030219	LongestTrx	Y
MIR532	NR_030241	LongestTrx	Y
MIR539	NR_030256	LongestTrx	Y
MIR541	NR_030594	LongestTrx	Y
MIR542	NR_030399	LongestTrx	Y
MIR543	NR_030619	LongestTrx	Y
MIR544A	NR_030257	LongestTrx	N
MIR544B	NR_036088	LongestTrx	N
MIR545	NR_030258	LongestTrx	Y
MIR548A1	NR_030312	LongestTrx	Y
MIR548A1HG	NR_149116	LongestTrx	N
MIR548A2	NR_030317	LongestTrx	Y
MIR548A3	NR_030330	LongestTrx	Y
MIR548AA1	NR_037516	LongestTrx	N
MIR548AA2	NR_037517	LongestTrx	Y
MIR548AB	NR_039611	LongestTrx	N
MIR548AC	NR_039621	LongestTrx	Y
MIR548AD	NR_039629	LongestTrx	Y
MIR548AE1	NR_039638	LongestTrx	N
MIR548AE2	NR_039639	LongestTrx	Y
MIR548AG1	NR_039652	LongestTrx	N
MIR548AG2	NR_039653	LongestTrx	N
MIR548AH	NR_039655	LongestTrx	N
MIR548AI	NR_039672	LongestTrx	Y
MIR548AJ1	NR_039673	LongestTrx	N
MIR548AJ2	NR_039674	LongestTrx	N
MIR548AK	NR_039699	LongestTrx	N
MIR548AL	NR_039710	LongestTrx	Y
MIR548AM	NR_039762	LongestTrx	N
MIR548AN	NR_039765	LongestTrx	Y
MIR548AO	NR_049801	LongestTrx	N
MIR548AP	NR_049805	LongestTrx	Y
MIR548AQ	NR_049838	LongestTrx	Y
MIR548AR	NR_049839	LongestTrx	Y
MIR548AS	NR_049840	LongestTrx	Y
MIR548AT	NR_049845	LongestTrx	N
MIR548AU	NR_049853	LongestTrx	Y
MIR548AV	NR_049858	LongestTrx	Y
MIR548AW	NR_049862	LongestTrx	N
MIR548AX	NR_049865	LongestTrx	Y
MIR548AY	NR_106753	LongestTrx	N
MIR548AZ	NR_106755	LongestTrx	N
MIR548B	NR_030315	LongestTrx	Y
MIR548BA	NR_107011	LongestTrx	N
MIR548BB	NR_128708	LongestTrx	N
MIR548BC	NR_162098	LongestTrx	N
MIR548C	NR_030347	LongestTrx	Y
MIR548D1	NR_030382	LongestTrx	N
MIR548D2	NR_030385	LongestTrx	Y
MIR548E	NR_031614	LongestTrx	N
MIR548F1	NR_031642	LongestTrx	Y
MIR548F2	NR_031643	LongestTrx	Y
MIR548F3	NR_031644	LongestTrx	Y
MIR548F4	NR_031645	LongestTrx	Y
MIR548F5	NR_031646	LongestTrx	N
MIR548G	NR_031662	LongestTrx	Y
MIR548H1	NR_031677	LongestTrx	N
MIR548H2	NR_031678	LongestTrx	Y
MIR548H3	NR_031679	LongestTrx	Y
MIR548H4	NR_031680	LongestTrx	Y
MIR548H5	NR_039610	LongestTrx	N
MIR548I1	NR_031687	LongestTrx	Y
MIR548I2	NR_031688	LongestTrx	Y
MIR548I3	NR_031689	LongestTrx	Y
MIR548I4	NR_031690	LongestTrx	Y
MIR548J	NR_031615	LongestTrx	Y
MIR548K	NR_031624	LongestTrx	Y
MIR548L	NR_031630	LongestTrx	N
MIR548M	NR_031667	LongestTrx	Y
MIR548N	NR_031666	LongestTrx	Y
MIR548O	NR_031669	LongestTrx	N
MIR548O2	NR_039605	LongestTrx	Y
MIR548P	NR_031686	LongestTrx	N
MIR548Q	NR_031752	LongestTrx	Y
MIR548S	NR_036071	LongestTrx	N
MIR548T	NR_036093	LongestTrx	N
MIR548U	NR_036097	LongestTrx	N
MIR548V	NR_036103	LongestTrx	N
MIR548W	NR_036146	LongestTrx	N
MIR548X	NR_036166	LongestTrx	Y
MIR548X2	NR_039692	LongestTrx	N
MIR548XHG	NR_109925	LongestTrx	N
MIR548Y	NR_037503	LongestTrx	Y
MIR548Z	NR_037515	LongestTrx	Y
MIR549A	NR_030393	LongestTrx	Y
MIR550A1	NR_030319	LongestTrx	Y
MIR550A2	NR_030320	LongestTrx	Y
MIR550A3	NR_039600	LongestTrx	Y
MIR550B1	NR_037513	LongestTrx	Y
MIR550B2	NR_037514	LongestTrx	Y
MIR551A	NR_030277	LongestTrx	Y
MIR551B	NR_030294	LongestTrx	Y
MIR552	NR_030278	LongestTrx	N
MIR553	NR_030279	LongestTrx	Y
MIR554	NR_030280	LongestTrx	Y
MIR555	NR_030282	LongestTrx	N
MIR556	NR_030283	LongestTrx	Y
MIR557	NR_030284	LongestTrx	Y
MIR5571	NR_049835	LongestTrx	N
MIR5572	NR_049837	LongestTrx	N
MIR5579	NR_049841	LongestTrx	Y
MIR558	NR_030285	LongestTrx	Y
MIR5580	NR_049843	LongestTrx	Y
MIR5581	NR_049844	LongestTrx	Y
MIR5582	NR_049846	LongestTrx	Y
MIR5583-1	NR_049847	LongestTrx	Y
MIR5583-2	NR_049848	LongestTrx	Y
MIR5584	NR_049849	LongestTrx	Y
MIR5585	NR_049850	LongestTrx	N
MIR5586	NR_049851	LongestTrx	Y
MIR5587	NR_049852	LongestTrx	Y
MIR5588	NR_106712	LongestTrx	N
MIR5589	NR_049855	LongestTrx	N
MIR559	NR_030286	LongestTrx	Y
MIR5590	NR_049856	LongestTrx	N
MIR5591	NR_049857	LongestTrx	N
MIR561	NR_030287	LongestTrx	Y
MIR562	NR_030288	LongestTrx	N
MIR563	NR_030289	LongestTrx	Y
MIR567	NR_030292	LongestTrx	Y
MIR568	NR_030293	LongestTrx	Y
MIR5680	NR_049859	LongestTrx	Y
MIR5681A	NR_049860	LongestTrx	Y
MIR5681B	NR_049871	LongestTrx	Y
MIR5682	NR_049861	LongestTrx	N
MIR5683	NR_049863	LongestTrx	N
MIR5684	NR_049864	LongestTrx	N
MIR5685	NR_049866	LongestTrx	Y
MIR5687	NR_049869	LongestTrx	Y
MIR5688	NR_049870	LongestTrx	Y
MIR5689	NR_049872	LongestTrx	Y
MIR5689HG	NR_132993	LongestTrx	N
MIR569	NR_030295	LongestTrx	Y
MIR5690	NR_049873	LongestTrx	Y
MIR5691	NR_049874	LongestTrx	Y
MIR5692B	NR_049889	LongestTrx	N
MIR5692C1	NR_049867	LongestTrx	Y
MIR5692C2	NR_049868	LongestTrx	Y
MIR5693	NR_049878	LongestTrx	Y
MIR5694	NR_049879	LongestTrx	N
MIR5695	NR_049880	LongestTrx	Y
MIR5696	NR_049881	LongestTrx	Y
MIR5697	NR_049882	LongestTrx	N
MIR5698	NR_049883	LongestTrx	Y
MIR5699	NR_049884	LongestTrx	Y
MIR570	NR_030296	LongestTrx	Y
MIR5700	NR_049885	LongestTrx	Y
MIR5702	NR_049887	LongestTrx	Y
MIR5703	NR_049888	LongestTrx	Y
MIR5704	NR_049890	LongestTrx	Y
MIR5705	NR_049891	LongestTrx	Y
MIR5706	NR_049892	LongestTrx	N
MIR5707	NR_049893	LongestTrx	Y
MIR5708	NR_049894	LongestTrx	Y
